message,error_bit,codeword,received,decoded,pass
0011110,0,00001100100110,00001100100111,0011110,1
0011110,1,00001100100110,00001100100100,0011110,1
0011110,2,00001100100110,00001100100010,0011110,1
0011110,3,00001100100110,00001100101110,0011110,1
0011110,4,00001100100110,00001100110110,0011110,1
0011110,5,00001100100110,00001100000110,0011110,1
0011110,6,00001100100110,00001101100110,0011110,1
0011110,7,00001100100110,00001110100110,0011110,1
0011110,8,00001100100110,00001000100110,0011110,1
0011110,9,00001100100110,00000100100110,0011110,1
0011110,10,00001100100110,00011100100110,0011110,1
0011110,11,00001100100110,00101100100110,0011110,1
0011110,12,00001100100110,01001100100110,0011110,1
0011110,13,00001100100110,10001100100110,0011110,1
0011111,-1,00001100100101,00001100100101,0011111,1
0011111,0,00001100100101,00001100100100,0011110,0
0011111,1,00001100100101,00001100100111,0011110,0
0011111,2,00001100100101,00001100100001,0011100,0
0011111,3,00001100100101,00001100101101,0011100,0
0011111,4,00001100100101,00001100110101,0011111,1
0011111,5,00001100100101,00001100000101,0011111,1
0011111,6,00001100100101,00001101100101,0011111,1
0011111,7,00001100100101,00001110100101,0011111,1
0011111,8,00001100100101,00001000100101,0011111,1
0011111,9,00001100100101,00000100100101,0011111,1
0011111,10,00001100100101,00011100100101,0011111,1
0011111,11,00001100100101,00101100100101,0011111,1
0011111,12,00001100100101,01001100100101,0011111,1
0011111,13,00001100100101,10001100100101,0011111,1
0100000,-1,00111110110000,00111110110000,0100000,1
0100000,0,00111110110000,00111110110001,0100000,1
0100000,1,00111110110000,00111110110010,0100000,1
0100000,2,00111110110000,00111110110100,0100000,1
0100000,3,00111110110000,00111110111000,0100000,1
0100000,4,00111110110000,00111110100000,0100000,1
0100000,5,00111110110000,00111110010000,0100000,1
0100000,6,00111110110000,00111111110000,0100000,1
0100000,7,00111110110000,00111100110000,0100000,1
0100000,8,00111110110000,00111010110000,0100000,1
0100000,9,00111110110000,00110110110000,0100000,1
0100000,10,00111110110000,00101110110000,0100000,1
0100000,11,00111110110000,00011110110000,0100000,1
0100000,12,00111110110000,01111110110000,0100000,1
0100000,13,00111110110000,10111110110000,0100000,1
0100001,-1,00111110110011,00111110110011,0100001,1
0100001,0,00111110110011,00111110110010,0100000,0
0100001,1,00111110110011,00111110110001,0100000,0
0100001,2,00111110110011,00111110110111,0100010,0
0100001,3,00111110110011,00111110111011,0100010,0
0100001,4,00111110110011,00111110100011,0100001,1
0100001,5,00111110110011,00111110010011,0100001,1
0100001,6,00111110110011,00111111110011,0100001,1
0100001,7,00111110110011,00111100110011,0100001,1
0100001,8,00111110110011,00111010110011,0100001,1
0100001,9,00111110110011,00110110110011,0100001,1
0100001,10,00111110110011,00101110110011,0100001,1
0100001,11,00111110110011,00011110110011,0100001,1
0100001,12,00111110110011,01111110110011,0100001,1
0100001,13,00111110110011,10111110110011,0100001,1
0100010,-1,00111110111111,00111110111111,0100010,1
0100010,0,00111110111111,00111110111110,0100010,1
0100010,1,00111110111111,00111110111101,0100010,1
0100010,2,00111110111111,00111110111011,0100010,1
0100010,3,00111110111111,00111110110111,0100010,1
0100010,4,00111110111111,00111110101111,0100010,1
0100010,5,00111110111111,00111110011111,0100010,1
0100010,6,00111110111111,00111111111111,0100010,1
0100010,7,00111110111111,00111100111111,0100010,1
0100010,8,00111110111111,00111010111111,0100010,1
0100010,9,00111110111111,00110110111111,0100010,1
0100010,10,00111110111111,00101110111111,0100010,1
0100010,11,00111110111111,00011110111111,0100010,1
0100010,12,00111110111111,01111110111111,0100010,1
0100010,13,00111110111111,10111110111111,0100010,1
0100011,-1,00111110111100,00111110111100,0100011,1
0100011,0,00111110111100,00111110111101,0100010,0
0100011,1,00111110111100,00111110111110,0100010,0
0100011,2,00111110111100,00111110111000,0100000,0
0100011,3,00111110111100,00111110110100,0100000,0
0100011,4,00111110111100,00111110101100,0100011,1
0100011,5,00111110111100,00111110011100,0100011,1
0100011,6,00111110111100,00111111111100,0100011,1
0100011,7,00111110111100,00111100111100,0100011,1
0100011,8,00111110111100,00111010111100,0100011,1
0100011,9,00111110111100,00110110111100,0100011,1
0100011,10,00111110111100,00101110111100,0100011,1
0100011,11,00111110111100,00011110111100,0100011,1
0100011,12,00111110111100,01111110111100,0100011,1
0100011,13,00111110111100,10111110111100,0100011,1
0100100,-1,00111110001110,00111110001110,0100100,1
0100100,0,00111110001110,00111110001111,0100100,1
0100100,1,00111110001110,00111110001100,0100100,1
0100100,2,00111110001110,00111110001010,0100100,1
0100100,3,00111110001110,00111110000110,0100100,1
0100100,4,00111110001110,00111110011110,0100100,1
0100100,5,00111110001110,00111110101110,0100100,1
0100100,6,00111110001110,00111111001110,0100100,1
0100100,7,00111110001110,00111100001110,0100100,1
0100100,8,00111110001110,00111010001110,0100100,1
0100100,9,00111110001110,00110110001110,0100100,1
0100100,10,00111110001110,00101110001110,0100100,1
0100100,11,00111110001110,00011110001110,0100100,1
0100100,12,00111110001110,01111110001110,0100100,1
0100100,13,00111110001110,10111110001110,0100100,1
0100101,-1,00111110001101,00111110001101,0100101,1
0100101,0,00111110001101,00111110001100,0100100,0
0100101,1,00111110001101,00111110001111,0100100,0
0100101,2,00111110001101,00111110001001,0100110,0
0100101,3,00111110001101,00111110000101,0100110,0
0100101,4,00111110001101,00111110011101,0100101,1
0100101,5,00111110001101,00111110101101,0100101,1
0100101,6,00111110001101,00111111001101,0100101,1
0100101,7,00111110001101,00111100001101,0100101,1
0100101,8,00111110001101,00111010001101,0100101,1
0100101,9,00111110001101,00110110001101,0100101,1
0100101,10,00111110001101,00101110001101,0100101,1
0100101,11,00111110001101,00011110001101,0100101,1
0100101,12,00111110001101,01111110001101,0100101,1
0100101,13,00111110001101,10111110001101,0100101,1
0100110,-1,00111110000001,00111110000001,0100110,1
0100110,0,00111110000001,00111110000000,0100110,1
0100110,1,00111110000001,00111110000011,0100110,1
0100110,2,00111110000001,00111110000101,0100110,1
0100110,3,00111110000001,00111110001001,0100110,1
0100110,4,00111110000001,00111110010001,0100110,1
