msg_bits,message,received,decoded,pass
40,1111001110101010101001000110000111111111,11001001100100001010100001000100010001001000111011110001011100110010011101010101100111,1111001110101010101001000110000111111111,1
40,0011100011110111100000000110111010000101,00001100101001111100100110101110011001110000000000110001101110101000101100111101011011,0011100011110111100000000110111010000101,1
40,1010100000000010000001000100000101010010,11110100010010110000000000001111101000000011111011111110110000111101000100100011101100,1010100000000010000001000100000101010010,1
40,0101000101110100011001011000001010110010,01111101001011111101111010100010111100010100110111010111000011110100011101010011101100,0101000101110100011001011000001010110010,1
40,1100001101000100001000101001001000110101,11000101110011000110001011111100110011111011111101001000111000111011110001100001001011,1100001101000100001000101001001000110101,1
40,1000110101010001100101011110111001111110,11111011110001100001000100101111000101001101000111100110101110100101001001010110011100,1000110101010001100101011110111001111110,1
40,0000010011110001000101111111011011111011,00000000001111100000100100011111111011111101111001010101101011011011100101101011010111,0000010011110001000101111111011011111011,1
40,0111000011100101110010010001000110100111,00110010100111001100101001001101111010010011100011101110111011110001100010000010100111,0111000011100101110010010001000110100111,1
40,1110010001111111101110000001011101001100,11001010011011101111001001010101011010111010011100000011110111101010001000000101110000,1110010001111111101110000001011101001100,1
40,0100011111001101110101010101111011101010,00111110111100100101100100000110111010100001000100010001111001101011101000000100101100,0100011111001101110101010101111011101010,1
40,1001000111100100111110010110110110000111,11111000111011110010011001101110000010010110010011011101101101101101011100110010100111,1001000111100100111110010110110110000111,1
40,1100010001010011101110011000001000011001,11000101111111101111110100100000101010111010010000010111000011111011001100010110111011,1100010001010011101110011000001000011001,1
40,0111011110010110001100010001011000001101,00110010101011100110010011011101011111000101111101101111110111010111000011000110001011,0111011110010110001100010001011000001101,1
40,0100100000011000000000110110110011010101,00111110001110110000001100010111000000000000110001101101101101010000011001010001001011,0100100000011000000000110110110011010101,1
40,1010000011010100111010000101001010100111,11110100101100001100011000010010000010101000101100111101001000010100010010000010100111,1010000011010100111010000101001010100111,1
40,0010101000011111011110111000101100111000,00001111010001001011001100100101101011100110101110100111011101110101000010100111000000,0010101000011111011110111000101100111000,1
40,0010000001011111010100110110110000101011,00001111101100000011110111100101101000010011000001101101101101011100111101000111010111,0010000001011111010100110110110000101011,1
40,1010100001011010000100100001100110011100,11110100010010110011110111011000101100111110001110110010000101000001010000101001110000,1010100001011010000100100001100110011100,1
40,1100011111001100011000100001001011101110,11000101111100100101100100000101111101010111111110110011111000110111101010111010011100,1100011111001100011000100001001011101110,1
40,0001101010110011110010000010000101011010,00000111000110000100011101010000100110010011101100001111101100111101000111011000101100,0001101010110011110010000010000101011010,1
40,1001101011101000001110000001011111111100,11111000000110000111101010001011000011001010011100000010110111100101010101011001110000,1001101011101000001110000001011111111100,1
40,1101000001111111011001110010010111001010,11000110001011000011001001010100101011010100001010010011100011011110100100110100101100,1101000001111111011001110010010111001010,1
